Table 1
S.no.,Item,Description,Quantity,Cost per unit($),Total cost($),Link
1,XIAO ESP32 C3,MCU,1,5.80,5.80,https://techiesms.com/product/seeed-studio-xiao-esp32c3/
2,MT3608 MODULE,STEP-UP CONVERTER,1,0.39,0.39,https://robu.in/product/mt3608-2a-max-dc-dc-step-up-power-module-booster-power-module/
3,LiPo ,1S 3.7V 400mah,2,1.69,3.38,https://robu.in/product/nova-303040-400mah-3-7v-micro-lipo-battery-pack/
4,330ohm,Resistor,4,0.0037,0.015,https://robu.in/product/330-ohm-1-4w-0603-surface-mount-chip-resistor-pack-of-100/
5,100nf,Capacitor,12,0.0043,0.056,https://robu.in/product/0603b104j500nt-fh-50v-100nf-x7r±5-0603-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
6,Acrylic sheet,Top case,1,3.03,3.03,https://www.amazon.in/gp/product/B0F4G2ZYYJ/ref=sw_img_1?smid=A3MQN57VSM5VEX&th=1
7,3D case,Bottom case,1,5,5,
8,PCBA,"PCB-5 , PCBA-2",5,79.88 AFTER 10$ COUPON,79.88,
,,,,Shipping,1.63,
,,,,Total Cost=,99.181~100$,
